"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added"
"News Tycoon","0","0","8","0","1.19","1.19","0.15","N/A","0.0","0.00","0.00","12","0.52","2017-03-25"
"Demonheart","0","0","5","0","5.47","5.47","1.09","N/A","0.0","1.22","3.18","10","2.84","2017-03-25"
"Shadows 2: Perfidia","0","0","5","0","0.23","0.23","0.05","0.33","-560.0","0.08","0.03","225","0.13","2017-03-25"
"Glass Masquerade","0","0","5","0","1.67","1.67","0.33","N/A","0.0","1.21","1.32","17","0.86","2017-03-25"
"Vikings - Wolves of Midgard","0","0","6","0","1.20","1.20","0.20","0.21","-5.0","0.81","1.13","80","0.52","2017-03-24"
"Zero Escape: The Nonary Games","0","0","7","0","2.32","2.32","0.33","0.60","-81.8","1.78","3.55","30","1.15","2017-03-24"
"Battle Brothers","0","0","7","0","0.97","0.97","0.14","0.23","-64.3","0.23","1.96","101","0.49","2017-03-24"
"Quern - Undying Thoughts","0","0","8","0","2.67","2.67","0.33","0.48","-45.5","0.30","1.00","17","1.15","2017-03-24"
"The Fishing Club 3D","0","0","14","0","11.91","11.91","0.85","2.03","-138.8","59.20","20.14","15","5.17","2017-03-24"
"Molemen Must Die!","0","0","6","0","1.53","1.53","0.26","N/A","0.0","0.00","0.00","5","0.68","2017-03-24"
"HORROR OF THE DEEP","0","0","13","0","0.88","0.88","0.07","N/A","0.0","1.78","2.33","5","0.37","2017-03-24"
"Western FPS","0","0","10","0","0.34","0.34","0.03","0.04","-33.3","0.05","0.05","192","0.13","2017-03-24"
"PuppyStory","0","0","5","0","0.23","0.23","0.05","N/A","0.0","0.05","0.04","457","0.13","2017-03-24"
"Verdict Guilty - 유죄 평결","0","0","8","0","0.42","0.42","0.05","0.05","0.0","1.97","0.30","43","0.17","2017-03-24"
"Flagster","0","0","5","0","0.43","0.43","0.09","0.59","-555.6","1.34","0.27","364","0.23","2017-03-24"
"Fallen","0","0","5","0","0.49","0.49","0.10","5.75","-5,650.0","11.69","0.20","17","0.26","2017-03-24"
"Corroded","0","0","8","0","0.69","0.69","0.09","N/A","0.0","0.00","0.00","20","0.31","2017-03-24"
"The Franz Kafka Videogame","0","0","6","0","1.32","1.32","0.22","N/A","0.0","0.00","0.00","9","0.57","2017-03-23"
"Cat survival","0","0","9","0","0.65","0.65","0.07","N/A","0.0","0.00","6.71","18","0.30","2017-03-23"
"Algotica - Iteration 1","0","0","5","0","0.32","0.32","0.06","0.50","-733.3","0.00","1.46","23","0.16","2017-03-23"
"Broccoli Bob","0","0","7","0","1.31","1.31","0.19","N/A","0.0","0.00","0.63","11","0.66","2017-03-23"
"Pale Moon Crisis","0","0","6","0","4.75","4.75","0.79","N/A","0.0","0.82","114.19","14","2.06","2017-03-23"
"A Room Beyond","0","0","7","0","1.38","1.38","0.20","N/A","0.0","0.00","0.00","7","0.70","2017-03-23"
"NightZ","0","0","15","0","2.70","2.70","0.18","N/A","0.0","0.00","0.00","1","0.31","2017-03-23"
"Dr. Spacezoo","0","0","10","0","4.17","4.17","0.42","N/A","0.0","0.00","0.00","4","1.83","2017-03-22"
"Tower Defense - Fantasy Tower Game","0","0","6","0","0.77","0.77","0.13","N/A","0.0","4.08","7.09","7","0.34","2017-03-22"
"Barclay: The Marrowdale Murder","0","0","9","0","0.74","0.74","0.08","0.04","50.0","2.16","90.06","24","0.35","2017-03-22"
"Cyberline Racing","0","0","6","0","1.52","1.52","0.25","0.33","-32.0","0.83","81.29","8","0.65","2017-03-22"
"- Arcane RERaise -","0","0","5","0","0.47","0.47","0.09","0.48","-433.3","5.38","1.28","37","0.23","2017-03-22"
"Castle Torgeath","0","0","8","0","0.49","0.49","0.06","0.14","-133.3","0.50","1.00","15","0.21","2017-03-22"
"- Arcane preRaise -","0","0","5","0","2.05","2.05","0.41","N/A","0.0","0.00","0.00","2","0.71","2017-03-22"
