"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added"
"Cube Runner","0","0","6","0","0.36","0.36","0.06","0.04","33.3","0.04","0.03","269","0.16","2016-12-15"
"天使帝國四《Empire of Angels IV》","0","0","14","0","3.39","3.39","0.24","0.25","-4.2","1.98","5.07","30","1.46","2016-12-15"
"Dwarflings","0","0","5","0","0.46","0.46","0.09","N/A","0.0","0.00","0.00","38","0.23","2016-12-15"
"Ballistic Overkill","0","0","7","0","0.59","0.59","0.08","0.08","0.0","0.10","0.15","62","0.28","2016-12-14"
"Darconika: The Cube of Soul","0","0","5","0","0.25","0.25","0.05","0.02","60.0","0.04","0.03","505","0.13","2016-12-14"
"Heaven Forest - VR MMO","0","0","15","0","0.45","0.45","0.03","0.02","33.3","0.04","0.03","2486","0.21","2016-12-14"
"Crash Wheels","0","0","5","0","0.45","0.45","0.09","0.07","22.2","1.55","0.16","26","0.23","2016-12-14"
"Patchwork","0","0","5","0","1.11","1.11","0.22","N/A","0.0","1.23","6.28","4","0.38","2016-12-14"
"Pro Skater 2D","0","0","5","0","0.33","0.33","0.07","0.04","42.9","0.04","0.03","127","0.18","2016-12-14"
"GUILTY GEAR Xrd -REVELATOR-","0","0","7","0","1.62","1.62","0.23","0.32","-39.1","0.20","1.57","98","0.80","2016-12-14"
"Filthy Lucre","0","0","6","0","0.74","0.74","0.12","0.14","-16.7","9.73","0.54","15","0.31","2016-12-14"
"Werewolves Within","0","0","11","0","6.51","6.51","0.59","N/A","0.0","0.00","3.52","12","3.08","2016-12-14"
"Mountain Trap: The Manor of Memories","0","0","5","0","7.00","7.00","1.40","N/A","0.0","3.78","1.29","15","3.65","2016-12-14"
"Breaking Wheel","0","0","6","0","1.26","1.26","0.21","N/A","0.0","0.00","0.00","5","0.55","2016-12-14"
"ERR - 001","0","0","5","0","2.72","2.72","0.54","N/A","0.0","18.25","16.22","10","1.41","2016-12-14"
"Beautiful Japanese Scenery - Animated Jigsaws","0","0","9","0","1.11","1.11","0.12","0.27","-125.0","1.56","8.51","27","0.52","2016-12-14"
"Planes, Bullets and Vodka","0","0","9","0","0.41","0.41","0.05","0.02","60.0","0.08","0.06","105","0.22","2016-12-14"
"Minimal","0","0","5","0","2.92","2.92","0.58","0.41","29.3","0.00","0.92","2","1.01","2016-12-14"
"Space Hulk: Deathwing","0","0","10","0","1.12","1.12","0.11","0.12","-9.1","0.26","0.63","262","0.48","2016-12-14"
"Lost Socks: Naughty Brothers","0","0","15","0","2.00","2.00","0.13","0.10","23.1","2.41","3.27","15","0.90","2016-12-14"
"True or False","0","0","8","0","1.53","1.53","0.19","0.32","-68.4","1.11","2.46","21","0.66","2016-12-14"
"DragonWingsVR","0","0","7","0","3.36","3.36","0.48","N/A","0.0","0.00","0.00","9","1.67","2016-12-14"
"Piximalism","0","0","5","0","0.24","0.24","0.05","0.03","40.0","0.04","0.03","929","0.13","2016-12-14"
"Masky","0","0","5","0","0.80","0.80","0.16","0.33","-106.3","0.27","0.52","17","0.42","2016-12-13"
"Guardians of Ember","0","0","10","0","1.05","1.05","0.11","0.40","-263.6","0.54","0.62","75","0.48","2016-12-13"
"EeOneGuy Adventure","0","0","6","0","0.23","0.23","0.04","0.02","50.0","0.03","0.03","868","0.10","2016-12-13"
"Brain In My Head","0","0","5","0","0.23","0.23","0.05","0.03","40.0","0.03","0.03","617","0.13","2016-12-13"
"Bubble Blowout","0","0","6","0","0.34","0.34","0.06","0.03","50.0","0.03","0.05","407","0.16","2016-12-13"
"Dessert Storm","0","0","6","0","0.32","0.32","0.05","0.03","40.0","0.06","0.03","296","0.13","2016-12-13"
"Billiard: VR","0","0","5","0","0.24","0.24","0.05","0.03","40.0","0.29","0.03","990","0.13","2016-12-13"
"Boundel","0","0","6","0","0.54","0.54","0.09","0.05","44.4","0.14","0.06","22","0.23","2016-12-13"
"Natural - Beyond Nature -","0","0","5","0","2.32","2.32","0.46","0.62","-34.8","0.98","3.91","15","1.20","2016-12-13"
"The Butterfly Sign","0","0","7","0","0.30","0.30","0.04","0.09","-125.0","0.04","0.03","129","0.14","2016-12-13"
"SPINGUN","0","0","6","0","0.47","0.47","0.08","0.05","37.5","0.30","0.13","35","0.21","2016-12-13"
"Strategy & Tactics: Dark Ages","0","0","7","0","0.44","0.44","0.06","0.10","-66.7","3.63","1.48","37","0.21","2016-12-13"
"Trouble Witches Origin - Episode1 Daughters of Amalgam -","0","0","9","0","1.68","1.68","0.19","N/A","0.0","2.40","1.48","11","0.83","2016-12-12"
"Left Alone","0","0","5","0","1.22","1.22","0.24","N/A","0.0","1.03","0.34","18","0.63","2016-12-12"
"Monster Puzzle","0","0","5","0","0.26","0.26","0.05","0.03","40.0","0.03","0.03","470","0.13","2016-12-12"
"Please, Don't Touch Anything 3D","0","0","6","0","1.56","1.56","0.26","1.15","-342.3","1.47","1.05","26","0.68","2016-12-12"
"ToyOdyssey","0","0","6","0","0.44","0.44","0.07","0.04","42.9","0.07","0.13","32","0.18","2016-12-11"
"Influent","0","0","15","0","0.58","0.58","0.04","0.04","0.0","0.08","0.09","204","0.28","2016-12-11"
"Delicious - Emily's Message in a Bottle","0","0","5","0","2.02","2.02","0.40","N/A","0.0","1.01","1.99","11","1.04","2016-12-11"
"The Miners","0","0","9","0","1.98","1.98","0.22","N/A","0.0","0.00","0.00","5","0.96","2016-12-11"
"Tyrfing Cycle","0","0","9","0","0.77","0.77","0.09","N/A","0.0","0.55","2.38","14","0.39","2016-12-11"
"Jade's Journey","0","0","5","0","2.38","2.38","0.48","N/A","0.0","0.00","10.25","4","1.25","2016-12-10"
"Seven Seas Solitaire","0","0","5","0","15.51","15.51","3.10","N/A","0.0","1.15","0.00","2","8.09","2016-12-10"
"Happy Maze","0","0","5","0","1.17","1.17","0.23","N/A","0.0","1.49","2.35","8","0.60","2016-12-10"
"Wild Animals - Animated Jigsaws","0","0","9","0","0.66","0.66","0.07","0.08","-14.3","1.30","1.75","32","0.30","2016-12-10"
"The Return Home","0","0","5","0","0.23","0.23","0.05","0.03","40.0","0.03","0.03","352","0.13","2016-12-10"
"Rogalia","0","0","6","0","0.75","0.75","0.12","0.34","-183.3","9.25","6.10","33","0.31","2016-12-10"
"Himawari - The Sunflower -","0","0","5","0","1.63","1.63","0.33","0.50","-51.5","0.80","1.14","16","0.86","2016-12-10"
"OneShot","0","0","5","0","2.38","2.38","0.48","0.62","-29.2","1.75","3.19","196","1.25","2016-12-10"
"Drift Into Eternity","0","0","10","0","0.82","0.82","0.08","0.89","-1,012.5","10.00","0.85","9","0.35","2016-12-10"
"Endless Fables: The Minotaur's Curse","0","0","5","0","0.43","0.43","0.09","0.10","-11.1","0.31","0.08","53","0.23","2016-12-10"
"Hunger Dungeon","0","0","10","0","4.40","4.40","0.44","0.22","50.0","0.00","0.51","13","1.91","2016-12-10"
"Root Of Evil: The Tailor","0","0","5","0","0.67","0.67","0.13","N/A","0.0","1.32","18.17","18","0.34","2016-12-10"
"Escape Artist: The Trial","0","0","5","0","3.93","3.93","0.79","N/A","0.0","0.00","0.00","5","2.06","2016-12-10"
"Off-Road Paradise: Trial 4x4","0","0","5","0","0.68","0.68","0.14","N/A","0.0","2.99","0.60","13","0.37","2016-12-10"
"Attempt[42]","0","0","5","0","0.23","0.23","0.05","0.04","20.0","0.21","0.03","664","0.13","2016-12-09"
"tayutama 2 -you're the only one-","0","0","6","0","2.60","2.60","0.43","0.42","2.3","0.17","2.39","42","1.12","2016-12-09"
"Pawn","0","0","11","0","1.08","1.08","0.10","N/A","0.0","1.32","0.00","10","0.52","2016-12-09"
"Whiplash - Crash Valley","0","0","6","0","0.75","0.75","0.12","N/A","0.0","0.00","0.00","19","0.31","2016-12-09"
"Mystic Diary - Quest for Lost Brother","0","0","5","0","0.40","0.40","0.08","0.40","-400.0","0.53","0.32","35","0.21","2016-12-09"
"ConflictCraft","0","0","7","0","0.37","0.37","0.05","0.06","-20.0","0.17","0.04","107","0.17","2016-12-09"
"ReBoot","0","0","6","0","0.36","0.36","0.06","0.03","50.0","0.19","0.04","76","0.16","2016-12-09"
"Indie Game Sim","0","0","15","0","1.10","1.10","0.07","0.23","-228.6","0.00","1.29","13","0.49","2016-12-09"
"Donuts'n'Justice","0","0","9","0","0.74","0.74","0.08","0.12","-50.0","0.16","4.54","15","0.35","2016-12-09"
"UnderWater Adventure","0","0","7","0","0.55","0.55","0.08","0.06","25.0","0.40","0.15","19","0.28","2016-12-09"
"Drones, The Human Condition","0","0","7","0","0.39","0.39","0.06","0.03","50.0","1.22","0.24","88","0.21","2016-12-09"
"One Night Stand","0","0","8","0","1.02","1.02","0.13","0.21","-61.5","1.99","2.65","46","0.45","2016-12-08"
"Terminal Hacker","0","0","5","0","3.00","3.00","0.60","0.59","1.7","1.78","3.92","15","1.57","2016-12-08"
"Darkness and Flame: Born of Fire","0","0","6","0","1.33","1.33","0.22","N/A","0.0","0.75","0.00","13","0.57","2016-12-08"
"TZOMPANTLI","0","0","12","0","8.10","8.10","0.68","N/A","0.0","0.41","3.57","11","3.55","2016-12-08"
"Night Forest","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.03","346","0.13","2016-12-08"
"Smash Up","0","0","9","0","3.83","3.83","0.43","0.29","32.6","0.85","2.25","14","1.87","2016-12-08"
"Coffin of Ashes","0","0","10","0","2.52","2.52","0.25","0.24","4.0","0.39","4.11","67","1.09","2016-12-08"
"Winged Sakura: Demon Civil War","0","0","6","0","1.96","1.96","0.33","0.48","-45.5","0.97","4.95","16","0.86","2016-12-08"
"Ultimate Solid","0","0","8","0","1.05","1.05","0.13","0.09","30.8","3.72","2.95","20","0.45","2016-12-08"
"Talewind","0","0","5","0","1.41","1.41","0.28","0.38","-35.7","3.23","0.73","5","0.73","2016-12-08"
"Bad ass babes","0","0","12","0","3.77","3.77","0.31","0.21","32.3","3.75","9.95","17","1.62","2016-12-08"
"Dexodonex","0","0","5","0","0.34","0.34","0.07","0.06","14.3","0.04","0.03","330","0.18","2016-12-08"
"Super LOH","0","0","5","0","0.24","0.24","0.05","0.03","40.0","0.10","0.03","407","0.13","2016-12-08"
"Yu-Gi-Oh! Legacy of the Duelist","0","0","7","0","1.26","1.26","0.18","0.24","-33.3","0.68","0.20","138","0.63","2016-12-08"
"Shattered Throne","0","0","9","0","0.47","0.47","0.05","0.12","-140.0","2.34","1.23","23","0.22","2016-12-08"
"RED Fuse: Rolling Explosive Device","0","0","10","0","0.48","0.48","0.05","0.03","40.0","0.04","0.10","45","0.22","2016-12-08"
"ZombieCarz","0","0","5","0","0.21","0.21","0.04","0.03","25.0","0.03","0.03","631","0.10","2016-12-08"
"100nya","0","0","5","0","2.31","2.31","0.46","1.36","-195.7","3.85","13.84","11","1.20","2016-12-08"
"7 Days to Die","0","0","8","0","0.56","0.56","0.07","0.10","-42.9","0.13","0.10","1711","0.24","2016-12-08"
"Sacred Almanac Traces of Greed","0","0","6","0","4.91","4.91","0.82","N/A","0.0","2.99","0.84","7","2.14","2016-12-07"
"Unseen Diplomacy","0","0","6","0","1.07","1.07","0.18","0.14","22.2","0.00","0.00","15","0.47","2016-12-07"
"Gnomes Vs. Fairies","0","0","7","0","0.47","0.47","0.07","0.08","-14.3","0.55","0.34","30","0.24","2016-12-07"
"Alien Hostage","0","0","5","0","0.35","0.35","0.07","0.05","28.6","0.89","0.11","70","0.18","2016-12-07"
"Russian Underground: VR","0","0","5","0","0.24","0.24","0.05","0.02","60.0","0.03","0.03","503","0.13","2016-12-07"
"3D Chess","0","0","5","0","6.66","6.66","1.33","133.33","-9,924.8","2.43","6.96","4","3.47","2016-12-07"
"Wrath of Anna","0","0","5","0","0.24","0.24","0.05","0.04","20.0","0.07","0.03","282","0.13","2016-12-07"
"GoVenture MICRO BUSINESS","0","0","9","0","2.33","2.33","0.26","N/A","0.0","0.00","0.00","2","0.68","2016-12-06"
"Operation KREEP","0","0","5","0","0.32","0.32","0.06","0.04","33.3","0.20","0.05","92","0.16","2016-12-06"
"Steep","0","0","11","0","1.28","1.28","0.12","0.16","-33.3","0.14","0.55","179","0.63","2016-12-06"
"Fallen Mage","0","0","10","0","1.71","1.71","0.17","4.07","-2,294.1","0.00","0.00","5","0.74","2016-12-06"
"Merlin adventurer store","0","0","5","0","0.98","0.98","0.20","N/A","0.0","1.23","4.59","14","0.52","2016-12-06"
"Fireflies","0","0","15","0","0.58","0.58","0.04","0.05","-25.0","0.30","0.22","92","0.28","2016-12-06"
"ORCS","0","0","6","0","0.48","0.48","0.08","0.05","37.5","0.05","0.03","19","0.21","2016-12-06"
"Warbands: Bushido","0","0","5","0","0.70","0.70","0.14","N/A","0.0","0.74","0.54","39","0.37","2016-12-06"
"Franchise Hockey Manager 3","0","0","15","0","2.42","2.42","0.16","N/A","0.0","0.99","5.00","15","1.11","2016-12-05"
"Nitroplus Blasterz: Heroines Infinite Duel","0","0","6","0","2.07","2.07","0.35","0.37","-5.7","0.82","3.75","67","0.91","2016-12-05"
"Mr. Massagy","0","0","6","0","2.12","2.12","0.35","N/A","0.0","0.94","3.04","19","0.91","2016-12-05"
"Zup! 2","0","0","7","0","0.74","0.74","0.11","0.09","18.2","0.54","0.04","93","0.38","2016-12-05"
"Cubway","0","0","5","0","0.38","0.38","0.08","0.05","37.5","0.13","0.74","69","0.21","2016-12-05"
"Out of the Park Baseball 17","0","0","6","0","0.34","0.34","0.06","0.07","-16.7","0.09","0.45","156","0.16","2016-12-05"
"Estiman","0","0","7","0","0.42","0.42","0.06","0.03","50.0","0.35","0.09","79","0.21","2016-12-05"
"Project AURA","0","0","12","0","1.12","1.12","0.09","N/A","0.0","2.91","0.78","18","0.47","2016-12-05"
"VCB: Why City","0","0","5","0","0.67","0.67","0.13","0.09","30.8","0.15","0.20","35","0.34","2016-12-04"
"Neon Arena","0","0","5","0","0.54","0.54","0.11","N/A","0.0","3.00","0.36","20","0.29","2016-12-04"
"Midnight Carnival","0","0","5","0","0.24","0.24","0.05","0.03","40.0","0.05","0.03","518","0.13","2016-12-04"
"One More Night","0","0","6","0","0.72","0.72","0.12","0.09","25.0","9.35","5.33","11","0.31","2016-12-04"
"Lara Croft GO","0","0","6","0","1.34","1.34","0.22","0.37","-68.2","0.24","0.22","66","0.57","2016-12-04"
"Hade","0","0","8","0","0.53","0.53","0.07","0.04","42.9","0.06","0.16","47","0.24","2016-12-04"
"Western Adventure","0","0","5","0","0.22","0.22","0.04","0.04","0.0","0.06","0.03","817","0.10","2016-12-04"
"Adventures of Hooi","0","0","6","0","0.24","0.24","0.04","0.02","50.0","0.03","0.03","328","0.10","2016-12-03"
"Eurgava™ - Fight for Haaria","0","0","5","0","0.39","0.39","0.08","0.05","37.5","0.26","0.13","62","0.21","2016-12-03"
"Little Briar Rose","0","0","6","0","3.32","3.32","0.55","0.49","10.9","1.46","0.59","9","1.43","2016-12-03"
"Ra²","0","0","6","0","6.15","6.15","1.03","N/A","0.0","1.07","3.65","10","2.69","2016-12-03"
"Antihorror","0","0","5","0","0.49","0.49","0.10","N/A","0.0","0.61","5.69","22","0.26","2016-12-03"
"Dungeon Souls","0","0","12","0","0.55","0.55","0.05","0.06","-20.0","0.76","0.13","60","0.26","2016-12-03"
"Guardian Of December","0","0","7","0","0.39","0.39","0.06","0.04","33.3","0.80","0.33","49","0.21","2016-12-03"
"Rogue Operatives","0","0","10","0","0.43","0.43","0.04","0.03","25.0","0.09","0.05","62","0.17","2016-12-03"
"Relaxation balls","0","0","6","0","0.32","0.32","0.05","0.03","40.0","0.03","0.03","164","0.13","2016-12-03"
"Zolg","0","0","7","0","0.61","0.61","0.09","0.05","44.4","0.04","0.06","42","0.31","2016-12-03"
"Sleengster","0","0","9","0","0.39","0.39","0.04","0.02","50.0","0.04","0.03","162","0.17","2016-12-03"
"TWIN BROS","0","0","5","0","0.37","0.37","0.07","0.08","-14.3","0.77","0.51","38","0.18","2016-12-03"
"Shot Shot Tactic","0","0","6","0","0.24","0.24","0.04","0.02","50.0","0.03","0.03","1328","0.10","2016-12-03"
"Construct: Escape the System","0","0","8","0","0.57","0.57","0.07","0.11","-57.1","4.96","0.72","29","0.24","2016-12-02"
"Eternal Return","0","0","8","0","1.17","1.17","0.15","0.33","-120.0","0.00","0.00","10","0.52","2016-12-02"
"Townsmen","0","0","8","0","0.41","0.41","0.05","0.27","-440.0","1.64","0.66","47","0.17","2016-12-02"
"The Electric Shocktopus","0","0","5","0","2.37","2.37","0.47","N/A","0.0","0.00","0.00","1","0.82","2016-12-02"
"BASMENT DWELLERS","0","0","5","0","8.18","8.18","1.64","N/A","0.0","0.00","0.00","1","2.85","2016-12-02"
"EARTH'S DAWN","0","0","5","0","0.97","0.97","0.19","0.21","-10.5","0.00","53.18","11","0.50","2016-12-02"
"Stargazer Christmas","0","0","5","0","0.39","0.39","0.08","0.06","25.0","0.07","0.23","42","0.21","2016-12-02"
"Prominence","0","0","10","0","1.42","1.42","0.14","N/A","0.0","0.00","0.53","17","0.61","2016-12-02"
"Viktaram","0","0","5","0","0.51","0.51","0.10","0.07","30.0","0.13","0.08","12","0.26","2016-12-02"
"Block Blowout","0","0","6","0","0.32","0.32","0.05","0.03","40.0","0.05","0.03","400","0.13","2016-12-02"
"Balloon Blowout","0","0","6","0","0.31","0.31","0.05","0.03","40.0","0.04","0.03","136","0.13","2016-12-02"
"The Gleam: VR Escape the Room","0","0","5","0","0.41","0.41","0.08","0.04","50.0","0.33","0.04","27","0.21","2016-12-02"
"Spellsworn","0","0","6","0","0.50","0.50","0.08","0.05","37.5","0.44","0.13","40","0.21","2016-12-01"
"PHAT STACKS","0","0","5","0","0.31","0.31","0.06","0.04","33.3","0.38","0.39","68","0.16","2016-12-01"
"Charlie's Adventure","0","0","6","0","0.30","0.30","0.05","0.03","40.0","0.03","0.03","352","0.13","2016-12-01"
"Bunny & Piggy","0","0","6","0","0.24","0.24","0.04","0.03","25.0","0.07","0.03","410","0.10","2016-12-01"
"Imprisoned Light","0","0","6","0","0.42","0.42","0.07","0.09","-28.6","0.19","0.18","24","0.18","2016-11-30"
"Liquid Pinball","0","0","5","0","0.52","0.52","0.10","0.08","20.0","0.24","0.83","21","0.26","2016-11-30"
"Chess Knight 2","0","0","6","0","0.31","0.31","0.05","0.03","40.0","0.03","0.03","445","0.13","2016-11-30"
"Shadow Tactics: Blades of the Shogun","0","0","8","0","1.00","1.00","0.12","0.12","0.0","0.14","0.37","187","0.42","2016-11-30"
"Fantastic Checkers 2","0","0","6","0","0.31","0.31","0.05","0.02","60.0","0.04","0.03","381","0.13","2016-11-30"
"CLASH","0","0","5","0","0.33","0.33","0.07","0.03","57.1","0.03","0.03","332","0.18","2016-11-30"
"ARK BOX Unlimited","0","0","5","0","0.37","0.37","0.07","0.04","42.9","0.12","0.41","74","0.18","2016-11-30"
"Leviathan Starblade","0","0","8","0","0.39","0.39","0.05","0.02","60.0","0.05","0.11","166","0.17","2016-11-30"
"4Team","0","0","12","0","5.94","5.94","0.50","N/A","0.0","0.00","0.00","5","2.61","2016-11-30"
"Football Manager 2017","0","0","9","0","0.73","0.73","0.08","0.09","-12.5","0.09","0.13","416","0.35","2016-11-29"
"Shallow Space","0","0","7","0","0.41","0.41","0.06","0.03","50.0","0.10","0.10","39","0.21","2016-11-29"
"Redie","0","0","6","0","1.51","1.51","0.25","3.33","-1,232.0","0.00","1.61","9","0.65","2016-11-29"
"Darksiders Warmastered Edition","0","0","12","0","0.58","0.58","0.05","0.04","20.0","0.04","0.07","1368","0.26","2016-11-29"
"Runbow","0","0","5","0","1.03","1.03","0.21","0.67","-219.0","0.00","0.00","14","0.55","2016-11-29"
"Mad Hunter","0","0","8","0","0.25","0.25","0.03","0.02","33.3","0.03","0.03","267","0.10","2016-11-29"
"Morphine","0","0","5","0","0.36","0.36","0.07","0.04","42.9","0.06","0.17","98","0.18","2016-11-29"
"What The Heck, Dude?","0","0","5","0","0.78","0.78","0.16","N/A","0.0","0.00","22.58","15","0.42","2016-11-29"
"Rescue the Great Demon 2","0","0","5","0","0.84","0.84","0.17","0.49","-188.2","0.70","4.38","11","0.44","2016-11-28"
"Ninja Smasher!","0","0","5","0","4.83","4.83","0.97","N/A","0.0","0.00","0.00","4","2.53","2016-11-28"
"Khaba","0","0","5","0","0.43","0.43","0.09","0.07","22.2","0.07","0.15","37","0.23","2016-11-28"
"Heartomics: Lost Count","0","0","7","0","1.51","1.51","0.22","0.29","-31.8","1.12","1.90","26","0.77","2016-11-28"
"Rage Pig","0","0","5","0","0.89","0.89","0.18","0.24","-33.3","2.43","2.33","13","0.47","2016-11-27"
"Unforgiven: Missing Memories - Child's Play","0","0","5","0","1.70","1.70","0.34","N/A","0.0","0.00","0.00","3","0.59","2016-11-27"
"Neon Prism","0","0","6","0","0.35","0.35","0.06","0.03","50.0","0.04","0.03","272","0.16","2016-11-27"
"imprint-X","0","0","6","0","2.47","2.47","0.41","0.66","-61.0","0.26","4.95","25","1.07","2016-11-26"
"SkyTime","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.03","415","0.13","2016-11-26"
"Demon Hunter 3: Revelation","0","0","5","0","0.35","0.35","0.07","0.16","-128.6","0.77","0.25","72","0.18","2016-11-26"
"Astervoid 2000","0","0","5","0","0.78","0.78","0.16","N/A","0.0","0.12","1.40","6","0.42","2016-11-26"
"Blade & Bones","0","0","6","0","0.57","0.57","0.09","0.30","-233.3","1.93","2.01","16","0.23","2016-11-26"
"Gun Range VR","0","0","5","0","10.00","10.00","2.00","N/A","0.0","0.00","0.00","1","1.74","2016-11-25"
"Town of Night","0","0","5","0","0.25","0.25","0.05","0.02","60.0","0.03","0.03","372","0.13","2016-11-25"
"Epica","0","0","5","0","3.67","3.67","0.73","N/A","0.0","2.25","5.47","15","1.90","2016-11-25"
"Sparkle Unleashed","0","0","6","0","3.56","3.56","0.59","N/A","0.0","5.00","5.00","4","1.54","2016-11-25"
"HEX: Shards of Fate","0","0","6","0","1.00","1.00","0.17","0.33","-94.1","2.98","5.97","81","0.44","2016-11-25"
"Steel Invaders","0","0","5","0","0.23","0.23","0.05","0.03","40.0","0.03","0.03","988","0.13","2016-11-24"
"Danny's War","0","0","5","0","0.41","0.41","0.08","0.04","50.0","0.18","0.04","32","0.21","2016-11-24"
"Infectonator : Survivors","0","0","6","0","0.54","0.54","0.09","0.10","-11.1","0.86","0.17","28","0.23","2016-11-24"
"Starry Nights : Helix","0","0","8","0","1.47","1.47","0.18","N/A","0.0","57.83","3.41","10","0.63","2016-11-24"
"The face of hope: Underground","0","0","5","0","0.21","0.21","0.04","0.03","25.0","0.03","0.03","718","0.10","2016-11-24"
"One Tower","0","0","6","0","1.97","1.97","0.33","N/A","0.0","0.63","9.56","13","0.86","2016-11-24"
"Party Golf","0","0","5","0","1.37","1.37","0.27","N/A","0.0","0.32","3.65","7","0.70","2016-11-24"
"Shady Brook - A Dark Mystery Text Adventure","0","0","10","0","4.00","4.00","0.40","N/A","0.0","0.00","0.20","4","1.74","2016-11-24"
"Germ Wars","0","0","6","0","0.24","0.24","0.04","0.02","50.0","0.03","0.03","890","0.10","2016-11-24"
"Rock God Tycoon","0","0","8","0","1.00","1.00","0.12","0.19","-58.3","0.94","0.34","23","0.42","2016-11-24"
"Zenza","0","0","10","0","0.86","0.86","0.09","0.08","11.1","0.33","1.98","21","0.39","2016-11-24"
"Orczz","0","0","7","0","0.35","0.35","0.05","0.03","40.0","0.09","0.10","66","0.17","2016-11-24"
"Unclaimed World","0","0","5","0","0.69","0.69","0.14","0.66","-371.4","1.46","1.16","15","0.37","2016-11-24"
"Masked Forces","0","0","10","0","0.77","0.77","0.08","0.12","-50.0","0.40","0.63","34","0.35","2016-11-23"
"Infestation: The New Z","0","0","10","0","2.85","2.85","0.29","0.20","31.0","0.00","0.00","21","1.26","2016-11-23"
"Dragon Knight","0","0","6","0","0.90","0.90","0.15","0.35","-133.3","1.17","0.50","41","0.39","2016-11-23"
"Cyber Chicken","0","0","5","0","0.46","0.46","0.09","0.09","0.0","1.39","0.44","28","0.23","2016-11-23"
"Powargrid","0","0","5","0","1.44","1.44","0.29","N/A","0.0","0.00","0.00","4","0.76","2016-11-23"
"Shuffle!","0","0","7","0","1.73","1.73","0.25","0.33","-32.0","1.48","3.25","23","0.87","2016-11-22"
"The Superfluous","0","0","5","0","0.39","0.39","0.08","0.06","25.0","0.45","0.05","44","0.21","2016-11-22"
"Pixel Gladiator","0","0","5","0","0.39","0.39","0.08","0.05","37.5","0.36","0.08","75","0.21","2016-11-22"
"The Silver Case","0","0","6","0","2.07","2.07","0.35","N/A","0.0","6.58","10.34","12","0.91","2016-11-22"
"Alicemare","0","0","6","0","1.89","1.89","0.32","0.41","-28.1","0.44","0.45","26","0.83","2016-11-22"
"The Lion's Song","0","0","10","0","2.41","2.41","0.24","N/A","0.0","7.19","0.00","18","1.04","2016-11-22"
"Incursion The Thing","0","0","8","0","1.34","1.34","0.17","0.20","-17.6","5.75","10.00","5","0.59","2016-11-21"
"Project Abyss","0","0","8","0","0.38","0.38","0.05","0.05","0.0","0.10","0.10","82","0.17","2016-11-21"
"Zone4","0","0","7","0","2.50","2.50","0.36","0.54","-50.0","9.27","2.62","15","1.25","2016-11-21"
"INTERSHELTER","0","0","10","0","0.38","0.38","0.04","0.02","50.0","0.04","0.03","266","0.17","2016-11-21"
"Pinstripe","0","0","8","0","13.49","13.49","1.69","N/A","0.0","0.00","0.00","8","5.88","2016-11-20"
"Mystery Case Files ®: 13th Skull ™ Collector's Edition","0","0","7","0","3.80","3.80","0.54","N/A","0.0","0.31","0.00","12","1.88","2016-11-20"
"Apokalypsis","0","0","5","0","0.38","0.38","0.08","0.05","37.5","0.05","0.07","194","0.21","2016-11-20"
"Lunar Stone: Origin of Blood","0","0","6","0","2.25","2.25","0.38","N/A","0.0","0.97","6.10","6","0.99","2016-11-20"
"Weird Hero","0","0","5","0","0.39","0.39","0.08","0.07","12.5","0.14","0.04","43","0.21","2016-11-20"
"Salvaged","0","0","9","0","11.60","11.60","1.29","N/A","0.0","0.00","0.00","2","4.49","2016-11-19"
"Pigmentone","0","0","6","0","2.08","2.08","0.35","7.95","-2,171.4","1.85","1.04","13","0.91","2016-11-19"
"Eternal Card Game","0","0","6","0","0.72","0.72","0.12","0.37","-208.3","0.43","0.84","95","0.31","2016-11-19"
"QUBIC","0","0","5","0","0.23","0.23","0.05","0.03","40.0","0.19","0.03","178","0.13","2016-11-19"
"Redemption: Saints And Sinners","0","0","7","0","0.63","0.63","0.09","0.11","-22.2","0.08","1.01","40","0.31","2016-11-19"
"Doodle God: 8-bit Mania","0","0","6","0","1.70","1.70","0.28","N/A","0.0","4.60","1.83","9","0.73","2016-11-19"
"Even the Ocean","0","0","5","0","0.99","0.99","0.20","N/A","0.0","1.66","2.13","6","0.52","2016-11-19"
"Metal Tales: Fury of the Guitar Gods","0","0","8","0","1.38","1.38","0.17","N/A","0.0","9.07","5.87","4","0.59","2016-11-19"
"King Lucas","0","0","5","0","0.34","0.34","0.07","0.08","-14.3","0.34","0.11","48","0.18","2016-11-18"
"Ghostlords","0","0","8","0","0.74","0.74","0.09","N/A","0.0","0.00","1.87","7","0.31","2016-11-18"
"DeathMetal","0","0","6","0","3.11","3.11","0.52","0.20","61.5","0.00","0.21","7","1.36","2016-11-18"
"Sunset's Ashes","0","0","7","0","3.15","3.15","0.45","0.41","8.9","4.10","15.67","12","1.57","2016-11-18"
"Once in Yaissor","0","0","5","0","0.40","0.40","0.08","0.08","0.0","0.07","0.24","747","0.21","2016-11-18"
"Last Days of Spring 2","0","0","5","0","2.68","2.68","0.54","N/A","0.0","16.02","6.16","13","1.41","2016-11-18"
